tube_id,layer_id,sector_id,x,y,z,inner_radius,outer_radius,tube_length,angle,skewed
87,0,4,16.619,8.585,35,0.5,0.501,150,0,0
88,0,5,16.619,9.595,35,0.5,0.501,150,0,0
89,0,5,15.7443,10.1,35,0.5,0.501,150,0,0
90,0,5,14.8697,10.605,35,0.5,0.501,150,0,0
91,0,5,13.995,11.11,35,0.5,0.501,150,0,0
92,0,5,13.1203,11.615,35,0.5,0.501,150,0,0
93,0,5,12.2456,12.12,35,0.5,0.501,150,0,0
94,0,5,11.3709,12.625,35,0.5,0.501,150,0,0
95,0,5,10.4962,13.13,35,0.5,0.501,150,0,0
96,0,5,9.62154,13.635,35,0.5,0.501,150,0,0
97,0,5,8.74686,14.14,35,0.5,0.501,150,0,0
98,0,5,7.87217,14.645,35,0.5,0.501,150,0,0
99,0,5,6.99749,15.15,35,0.5,0.501,150,0,0
100,0,5,6.1228,15.655,35,0.5,0.501,150,0,0
101,0,5,5.24811,16.16,35,0.5,0.501,150,0,0
102,0,5,4.37343,16.665,35,0.5,0.501,150,0,0
103,0,5,3.49874,17.17,35,0.5,0.501,150,0,0
104,0,5,2.62406,17.675,35,0.5,0.501,150,0,0
105,1,0,-2.62406,18.685,35,0.5,0.501,150,0,0
106,1,0,-3.49874,18.18,35,0.5,0.501,150,0,0
107,1,0,-4.37343,17.675,35,0.5,0.501,150,0,0
108,1,0,-5.24811,17.17,35,0.5,0.501,150,0,0
109,1,0,-6.1228,16.665,35,0.5,0.501,150,0,0
110,1,0,-6.99749,16.16,35,0.5,0.501,150,0,0
111,1,0,-7.87217,15.655,35,0.5,0.501,150,0,0
112,1,0,-8.74686,15.15,35,0.5,0.501,150,0,0
113,1,0,-9.62154,14.645,35,0.5,0.501,150,0,0
114,1,0,-10.4962,14.14,35,0.5,0.501,150,0,0
115,1,0,-11.3709,13.635,35,0.5,0.501,150,0,0
116,1,0,-12.2456,13.13,35,0.5,0.501,150,0,0
117,1,0,-13.1203,12.625,35,0.5,0.501,150,0,0
118,1,0,-13.995,12.12,35,0.5,0.501,150,0,0
119,1,0,-14.8697,11.615,35,0.5,0.501,150,0,0
120,1,0,-15.7443,11.11,35,0.5,0.501,150,0,0
121,1,0,-16.619,10.605,35,0.5,0.501,150,0,0
122,1,0,-17.4937,10.1,35,0.5,0.501,150,0,0
123,1,1,-17.4937,9.09,35,0.5,0.501,150,0,0
124,1,1,-17.4937,8.08,35,0.5,0.501,150,0,0
125,1,1,-17.4937,7.07,35,0.5,0.501,150,0,0
126,1,1,-17.4937,6.06,35,0.5,0.501,150,0,0
127,1,1,-17.4937,5.05,35,0.5,0.501,150,0,0
128,1,1,-17.4937,4.04,35,0.5,0.501,150,0,0
129,1,1,-17.4937,3.03,35,0.5,0.501,150,0,0
130,1,1,-17.4937,2.02,35,0.5,0.501,150,0,0
131,1,1,-17.4937,1.01,35,0.5,0.501,150,0,0
132,1,1,-17.4937,0,35,0.5,0.501,150,0,0
133,1,1,-17.4937,-1.01,35,0.5,0.501,150,0,0
134,1,1,-17.4937,-2.02,35,0.5,0.501,150,0,0
135,1,1,-17.4937,-3.03,35,0.5,0.501,150,0,0
136,1,1,-17.4937,-4.04,35,0.5,0.501,150,0,0
137,1,1,-17.4937,-5.05,35,0.5,0.501,150,0,0
138,1,1,-17.4937,-6.06,35,0.5,0.501,150,0,0
139,1,1,-17.4937,-7.07,35,0.5,0.501,150,0,0
140,1,1,-17.4937,-8.08,35,0.5,0.501,150,0,0
141,1,1,-17.4937,-9.09,35,0.5,0.501,150,0,0
142,1,2,-17.4937,-10.1,35,0.5,0.501,150,0,0
143,1,2,-16.619,-10.605,35,0.5,0.501,150,0,0
144,1,2,-15.7443,-11.11,35,0.5,0.501,150,0,0
145,1,2,-14.8697,-11.615,35,0.5,0.501,150,0,0
146,1,2,-13.995,-12.12,35,0.5,0.501,150,0,0
147,1,2,-13.1203,-12.625,35,0.5,0.501,150,0,0
148,1,2,-12.2456,-13.13,35,0.5,0.501,150,0,0
149,1,2,-11.3709,-13.635,35,0.5,0.501,150,0,0
150,1,2,-10.4962,-14.14,35,0.5,0.501,150,0,0
151,1,2,-9.62154,-14.645,35,0.5,0.501,150,0,0
152,1,2,-8.74686,-15.15,35,0.5,0.501,150,0,0
153,1,2,-7.87217,-15.655,35,0.5,0.501,150,0,0
154,1,2,-6.99749,-16.16,35,0.5,0.501,150,0,0
155,1,2,-6.1228,-16.665,35,0.5,0.501,150,0,0
156,1,2,-5.24811,-17.17,35,0.5,0.501,150,0,0
157,1,2,-4.37343,-17.675,35,0.5,0.501,150,0,0
158,1,2,-3.49874,-18.18,35,0.5,0.501,150,0,0
159,1,2,-2.62406,-18.685,35,0.5,0.501,150,0,0
160,1,3,2.62406,-18.685,35,0.5,0.501,150,0,0
161,1,3,3.49874,-18.18,35,0.5,0.501,150,0,0
162,1,3,4.37343,-17.675,35,0.5,0.501,150,0,0
163,1,3,5.24811,-17.17,35,0.5,0.501,150,0,0
164,1,3,6.1228,-16.665,35,0.5,0.501,150,0,0
165,1,3,6.99749,-16.16,35,0.5,0.501,150,0,0
166,1,3,7.87217,-15.655,35,0.5,0.501,150,0,0
167,1,3,8.74686,-15.15,35,0.5,0.501,150,0,0
